parameter_name,Placenta Morphology
gene_accession_id,MGI:1924315
analysis_id,fh3o4d1ngzb1p20
pvalue,0.531915
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
gene_symbol,Ints7
