parameter_name,Percent time in light
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_009_001
gene_symbol,Traf6
gene_accession_id,MGI:108072
pvalue,0.883821
analysis_id,e78z53406827ef7
