analysis_id,19xk32t9s55058m
mouse_life_stage,E9.5
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.7226029
