parameter_id,MGP_CSD_015_001
mouse_life_stage,E12.5
gene_symbol,Bmi1
analysis_id,lfk04ri57gtu265
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.3770716
