analysis_id,91h62a3hg48cyw6
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1924315
parameter_name,BMC/Body weight
mouse_life_stage,E9.5
gene_symbol,Ints7
mouse_strain,C57BL
pvalue,0.6746923
