gene_symbol,Arpc5l
parameter_name,Total cholesterol
gene_accession_id,MGI:1921442
analysis_id,i42x5449q51uw0b
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
pvalue,0.3220928
mouse_life_stage,Early adult
