gene_symbol,Ints7
analysis_id,1w7352o470c26ti
pvalue,0.9223962
gene_accession_id,MGI:1924315
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_MLN_066_001
