gene_symbol,Ufc1
pvalue,0.9135109
gene_accession_id,MGI:1913405
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
analysis_id,iyv5y0vm13243bu
mouse_strain,C57BL
