analysis_id,txfqvrg96p6e3n2
mouse_life_stage,Early adult
pvalue,0.452554
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
parameter_name,Eye
