analysis_id,1aq4u8b301182wj
gene_symbol,Etfdh
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
pvalue,0.6724019
