gene_symbol,Bmi1
pvalue,0.1841494
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
analysis_id,794x58uz66302pk
parameter_name,Edema
mouse_strain,C57BL
