gene_symbol,Arnt
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:88071
pvalue,0.845538
analysis_id,t9ra2jco51768br
mouse_life_stage,Early adult
