analysis_id,958471pibx1z4zq
pvalue,0.4976435
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
