parameter_name,Total holepokes
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
analysis_id,241y20464lnd3o2
pvalue,0.3948462
