mouse_strain,C3H
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,IMPC_CBC_011_001
gene_symbol,Mecom
parameter_name,Iron
analysis_id,87cm0r0055208j3
pvalue,0.6934207
