analysis_id,60711j9373p1v03
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.4926479
mouse_life_stage,E12.5
parameter_name,Whole arena resting time
parameter_id,JAX_OFD_007_001
gene_accession_id,MGI:1913483
