analysis_id,8ov549vdz92w35k
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
pvalue,0.894187
parameter_id,IMPC_DXA_002_001
gene_symbol,Orc2
parameter_name,Fat mass
mouse_strain,C57BL
