parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
pvalue,0.3081503
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
analysis_id,f540wmsvb2g072s
gene_symbol,Mecom
mouse_strain,C57BL
