parameter_name,Optic Disc
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_EYE_023_001
analysis_id,761t3b49tf59607
pvalue,0.3770817
