parameter_name,Body length
mouse_strain,C57BL
gene_symbol,Ubxn11
parameter_id,IMPC_DXA_006_001
pvalue,0.6974254
mouse_life_stage,Early adult
analysis_id,j1kyb9138ye934p
gene_accession_id,MGI:1914836
