parameter_name,Light side time spent
pvalue,0.4355828
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,g91e51l35b5c9v6
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
