gene_symbol,Mecom
gene_accession_id,MGI:95457
analysis_id,3306g92y4exzqp1
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
mouse_life_stage,E15.5
pvalue,0.4079471
parameter_name,Fat/Body weight
