parameter_name,Lean mass
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
analysis_id,xc420550g7biq68
pvalue,0.6615325
gene_symbol,Dnajc5b
