parameter_name,Facial Morphology
mouse_life_stage,Early adult
gene_symbol,Lime1
mouse_strain,C57BL
analysis_id,89e863e8gn68en0
gene_accession_id,MGI:1919949
parameter_id,IMPC_GEP_017_001
pvalue,0.6795987
