gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:2443129
pvalue,0.8850303
mouse_strain,C57BL
analysis_id,n05k8lh87q0rnu0
parameter_name,center - distance
