parameter_name,Tremor
mouse_strain,C57BL
analysis_id,953c3w03r20qawq
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:2448481
pvalue,0.9066958
