gene_symbol,Arnt
gene_accession_id,MGI:88071
parameter_name,eye size
analysis_id,0a5bhtcbgtt08d5
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5915821
