analysis_id,5lmie2uc166lcsl
mouse_life_stage,E15.5
pvalue,0.6723427
parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Mecom
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
gene_accession_id,MGI:95457
