analysis_id,s9858kta642bj3z
gene_symbol,Bmi1
pvalue,0.4075395
parameter_id,IMPC_GRS_010_001
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
