gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_name,Pericardium Morphology
pvalue,0.8040941
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
analysis_id,l55h3yg962ga4ti
