parameter_name,Lean mass
gene_symbol,Fgb
analysis_id,sig9h3hk09h414m
gene_accession_id,MGI:99501
pvalue,0.8958766
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
