analysis_id,8qc3qe365r7ku67
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
pvalue,0.9599083
gene_symbol,Bmi1
mouse_strain,C57BL
