mouse_life_stage,Early adult
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
gene_symbol,Zcchc2
pvalue,0.5912688
parameter_name,Mean left eye lens density
gene_accession_id,MGI:2444114
analysis_id,2o20j3nbz5x99u6
