analysis_id,r84024y36qqe0ou
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
pvalue,0.4830008
