gene_symbol,Tox
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
pvalue,0.51856
mouse_strain,C57BL
analysis_id,9r99el1q59ag064
