gene_symbol,Sla2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6kpw95g80d23j1q
parameter_id,MGP_IMM_013_001
pvalue,0.3829903
gene_accession_id,MGI:1925049
parameter_name,Total CD8+ T cells - % of ab T cells
