analysis_id,101z288i3u14566
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
parameter_name,Time mobile dark side
parameter_id,JAX_LDT_005_001
pvalue,0.5122054
