parameter_name,Total cholesterol
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
gene_accession_id,MGI:95457
analysis_id,8yl43zmd5571l0r
gene_symbol,Mecom
pvalue,0.1894779
