analysis_id,575u940ac7b93n6
gene_accession_id,MGI:1914256
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Cisd2
pvalue,0.1074256
parameter_id,MGP_IMM_081_001
