mouse_strain,129SV
gene_symbol,Cds2
pvalue,0.5172276
mouse_life_stage,Early adult
analysis_id,54h4g15f471yz36
gene_accession_id,MGI:1332236
parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
