analysis_id,xwz41plxn1sq24m
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.8529323
mouse_life_stage,Late adult
gene_symbol,Slc30a4
