analysis_id,108r3oyg40gr6f3
parameter_name,Startle response
pvalue,0.2233253
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
