analysis_id,pl6ez10n6ko2v94
Pvalue,0.4430189
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
Gene_symbol,Usp37
Gene_accession_id,MGI:2442483
Mouse_strain,C57BL
Parameter_name,Cornea vascularisation
