parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
analysis_id,52t13dju4s7v354
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5075601
gene_symbol,Tatdn3
