gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
pvalue,0.2531522
analysis_id,j4w41ij290vn891
