analysis_id,b6at0p787331qep
mouse_strain,C57BL
gene_symbol,Hpca
mouse_life_stage,Early adult
pvalue,0.1455134
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:1336200
parameter_name,Retinal Blood Vessels Pattern
