analysis_id,6uojcxj82ynlm55
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
gene_symbol,Atrn
mouse_strain,C57BL
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
pvalue,0.1099448
