analysis_id,4d754r12n327as8
parameter_id,MGP_IMM_078_001
pvalue,0.5330595
mouse_strain,C57BL
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:1914836
