parameter_name,Magnesium
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.7017946
analysis_id,9cwr6ex66a330p3
parameter_id,IMPC_CBC_054_001
mouse_strain,C57BL
