parameter_name,Edema
mouse_strain,C57BL
analysis_id,r1ig577mal5t71g
pvalue,0.254717
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
