gene_symbol,Secisbp2l
pvalue,0.4040302
analysis_id,u3q67l8133wzasz
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
