parameter_name,Heart weight
gene_accession_id,MGI:108072
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
pvalue,0.4869391
analysis_id,6ygj9cie661uz2o
