parameter_name,Limb grasp
parameter_id,JAXLA_CSD_039_001
gene_symbol,Atf3
gene_accession_id,MGI:109384
pvalue,0.4360653
analysis_id,58lic7no4r95464
mouse_strain,C57BL
mouse_life_stage,Early adult
