gene_symbol,Npbwr1
mouse_strain,C57BL
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
analysis_id,1qo4e31d8t26302
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
pvalue,0.7351829
