analysis_id,bcup8usm07n8946
mouse_strain,C57BL
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
mouse_life_stage,Early adult
parameter_name,Number of centre entries
pvalue,0.06458066
parameter_id,ESLIM_007_001_015
