analysis_id,0c0jc64ri638543
parameter_name,Shape of ribcage
gene_symbol,Zcchc2
pvalue,0.858005
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,IMPC_XRY_059_001
