gene_symbol,Sema6c
mouse_strain,C57BL
gene_accession_id,MGI:1338032
analysis_id,bl1097s9f4a39a2
pvalue,0.559653
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
parameter_name,Radius
