gene_symbol,Bcs1l
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1914071
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
pvalue,1.288389
mouse_life_stage,E12.5
analysis_id,gf272x88z60f2rf
