gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:109384
parameter_id,IMPC_EYE_092_002
pvalue,0.3321985
analysis_id,3m64w3f87v27d79
