parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.3952306
analysis_id,34aai54980f7a7d
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
