gene_symbol,Arpc2
pvalue,0.9902034
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:1923959
analysis_id,301h1t3o0i26bqo
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Retina (combined)
