analysis_id,j7hf84y6t9985u5
mouse_strain,C57BL
pvalue,0.7799122
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
gene_symbol,Extl1
parameter_name,RR
parameter_id,IMPC_ECG_004_001
