parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,2j33ht4i6t9zb0m
gene_symbol,Trp53i11
pvalue,0.5858512
gene_accession_id,MGI:2670995
parameter_name,% Freezing duration pre-cue-2
