gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
parameter_name,Sodium
mouse_strain,C57BL
pvalue,0.6118459
analysis_id,m4q7pe01553ly06
